ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
Christ College ATM,11/07/12,83,373500,69803415,SUNDAY
Big Street ATM,12/07/12,48,168700,31528343,SUNDAY
Mount Road ATM,12/07/12,171,606900,113423541,SUNDAY
Airport ATM,12/07/12,93,339000,63355710,SUNDAY
KK Nagar ATM,12/07/12,267,1037500,193898375,SUNDAY
Christ College ATM,12/07/12,97,389300,72756277,SUNDAY
Big Street ATM,13/07/12,60,200500,37471445,SUNDAY
Mount Road ATM,13/07/12,138,416600,77858374,SUNDAY
Airport ATM,13/07/12,87,384700,71896583,SUNDAY
KK Nagar ATM,13/07/12,247,1168200,218324898,SUNDAY
Christ College ATM,13/07/12,79,373200,69747348,SUNDAY
Big Street ATM,14/07/12,51,195700,36574373,SATURDAY
Mount Road ATM,14/07/12,211,699500,130729555,SATURDAY
Airport ATM,14/07/12,128,622300,116301647,SATURDAY
KK Nagar ATM,14/07/12,299,1190100,222417789,SATURDAY
Christ College ATM,14/07/12,116,601600,112433024,SATURDAY
Big Street ATM,15/07/12,52,203500,38032115,SUNDAY
Mount Road ATM,15/07/12,195,541700,101238313,SUNDAY
Airport ATM,15/07/12,86,389600,72812344,SUNDAY
KK Nagar ATM,15/07/12,210,584900,109311961,SUNDAY
Christ College ATM,15/07/12,56,129500,24202255,SUNDAY
Big Street ATM,16/07/12,50,239000,44666710,SUNDAY
Mount Road ATM,16/07/12,167,700400,130897756,SUNDAY
Airport ATM,16/07/12,117,568400,106228276,SUNDAY
KK Nagar ATM,16/07/12,241,1039800,194328222,SUNDAY
Christ College ATM,16/07/12,37,194600,36368794,SUNDAY
Big Street ATM,17/07/12,56,248900,46516921,SUNDAY
Mount Road ATM,17/07/12,130,441100,82437179,SUNDAY
Airport ATM,17/07/12,113,555800,103873462,SUNDAY
KK Nagar ATM,17/07/12,232,1149700,214867433,SUNDAY
Christ College ATM,17/07/12,82,313500,58590015,SUNDAY
Big Street ATM,18/07/12,42,123500,23080915,SUNDAY
Mount Road ATM,18/07/12,172,609700,113946833,SUNDAY
Airport ATM,18/07/12,130,587400,109779186,SUNDAY
KK Nagar ATM,18/07/12,259,1223900,228734671,SUNDAY
Christ College ATM,18/07/12,85,401300,74998957,SUNDAY
Big Street ATM,19/07/12,37,126800,23697652,SUNDAY
Mount Road ATM,19/07/12,132,374700,70027683,SUNDAY
Airport ATM,19/07/12,130,611500,114283235,SUNDAY
KK Nagar ATM,19/07/12,219,851200,159080768,SUNDAY
Christ College ATM,19/07/12,54,234300,43788327,SUNDAY
Big Street ATM,20/07/12,38,86100,16091229,SUNDAY
Mount Road ATM,20/07/12,176,549900,102770811,SUNDAY
Airport ATM,20/07/12,103,456800,85371352,SUNDAY
KK Nagar ATM,20/07/12,229,878800,164238932,SUNDAY
Christ College ATM,20/07/12,91,461700,86287113,SUNDAY
Big Street ATM,21/07/12,41,131700,24613413,SATURDAY
Mount Road ATM,21/07/12,193,706600,132056474,SATURDAY
Airport ATM,21/07/12,139,823500,153903915,SATURDAY
KK Nagar ATM,21/07/12,241,867800,162183142,SATURDAY
Christ College ATM,21/07/12,103,502200,93856158,SATURDAY
Big Street ATM,22/07/12,43,93700,17511593,SUNDAY
Mount Road ATM,22/07/12,154,350900,65579701,SUNDAY
Airport ATM,22/07/12,100,502300,93874847,SUNDAY
KK Nagar ATM,22/07/12,72,193600,36181904,SUNDAY
Christ College ATM,22/07/12,72,230700,43115523,SUNDAY
Big Street ATM,23/07/12,45,100200,18726378,SUNDAY
Mount Road ATM,23/07/12,164,424000,79241360,SUNDAY
Airport ATM,23/07/12,86,359900,67261711,SUNDAY
KK Nagar ATM,23/07/12,261,1075700,201037573,SUNDAY
Christ College ATM,23/07/12,92,565800,105742362,SUNDAY
Big Street ATM,24/07/12,43,196000,36630440,SUNDAY
Mount Road ATM,24/07/12,111,206900,38667541,SUNDAY
Airport ATM,24/07/12,92,499200,93295488,SUNDAY
KK Nagar ATM,24/07/12,205,885600,165509784,SUNDAY
Christ College ATM,24/07/12,82,449600,84025744,SUNDAY
Big Street ATM,25/07/12,82,377600,70569664,SUNDAY
Mount Road ATM,25/07/12,188,597600,111685464,SUNDAY
Airport ATM,25/07/12,82,339900,63523911,SUNDAY
KK Nagar ATM,25/07/12,217,995500,186048995,SUNDAY
Christ College ATM,25/07/12,69,271400,50721946,SUNDAY
Big Street ATM,26/07/12,46,150600,28145634,SUNDAY
Mount Road ATM,26/07/12,152,495800,92660062,SUNDAY
Airport ATM,26/07/12,131,639900,119590911,SUNDAY
KK Nagar ATM,26/07/12,233,942000,176050380,SUNDAY
Christ College ATM,26/07/12,72,363400,67915826,SUNDAY
Big Street ATM,27/07/12,27,53400,9979926,SUNDAY
Mount Road ATM,27/07/12,111,304600,56926694,SUNDAY
Airport ATM,27/07/12,110,552100,103181969,SUNDAY
KK Nagar ATM,27/07/12,205,658900,123141821,SUNDAY
Christ College ATM,27/07/12,74,275500,51488195,SUNDAY
Big Street ATM,28/07/12,39,95000,17754550,SATURDAY
Mount Road ATM,28/07/12,169,504900,94360761,SATURDAY
Airport ATM,28/07/12,94,438900,82026021,SATURDAY
KK Nagar ATM,28/07/12,284,903000,168761670,SATURDAY
Christ College ATM,28/07/12,98,511500,95594235,SATURDAY
Big Street ATM,29/07/12,34,86900,16240741,SUNDAY
Mount Road ATM,29/07/12,155,347900,65019031,SUNDAY
Airport ATM,29/07/12,95,376100,70289329,SUNDAY
KK Nagar ATM,29/07/12,125,392400,73335636,SUNDAY
Christ College ATM,29/07/12,62,242500,45320825,SUNDAY
Big Street ATM,30/07/12,29,89400,16707966,SUNDAY
Mount Road ATM,30/07/12,150,458500,85689065,SUNDAY
Airport ATM,30/07/12,103,587700,109835253,SUNDAY
KK Nagar ATM,30/07/12,256,1169400,218549166,SUNDAY
Christ College ATM,30/07/12,60,299100,55898799,SUNDAY
Big Street ATM,31/07/12,36,179800,33602822,SUNDAY
Mount Road ATM,31/07/12,175,517300,96678197,SUNDAY
Airport ATM,31/07/12,126,587800,109853942,SUNDAY
KK Nagar ATM,31/07/12,296,1525100,285025939,SUNDAY
Christ College ATM,31/07/12,101,457100,85427419,SUNDAY
Big Street ATM,01/08/12,52,269000,50273410,SUNDAY
Mount Road ATM,01/08/12,195,695700,130019373,SUNDAY
Airport ATM,01/08/12,141,850900,159024701,SUNDAY
KK Nagar ATM,01/08/12,333,1630900,304798901,SUNDAY
Christ College ATM,01/08/12,122,646000,120730940,SUNDAY
Big Street ATM,02/08/12,47,142300,26594447,SUNDAY
Mount Road ATM,02/08/12,223,887800,165920942,SUNDAY
Airport ATM,02/08/12,131,636300,118918107,SUNDAY
KK Nagar ATM,02/08/12,283,1254300,234416127,SUNDAY
Christ College ATM,02/08/12,87,352700,65916103,SUNDAY
Big Street ATM,03/08/12,56,220900,41284001,SUNDAY
Mount Road ATM,03/08/12,197,717700,134130953,SUNDAY
Airport ATM,03/08/12,108,554300,103593127,SUNDAY
KK Nagar ATM,03/08/12,282,1337000,249871930,SUNDAY
Christ College ATM,03/08/12,99,519500,97089355,SUNDAY
Big Street ATM,04/08/12,60,268700,50217343,SATURDAY
Mount Road ATM,04/08/12,269,996100,186161129,SATURDAY
Airport ATM,04/08/12,131,708400,132392876,SATURDAY
KK Nagar ATM,04/08/12,305,1498100,279979909,SATURDAY
Christ College ATM,04/08/12,79,367400,68663386,SATURDAY
Big Street ATM,05/08/12,48,112800,21081192,SUNDAY
Mount Road ATM,05/08/12,193,423900,79222671,SUNDAY
Airport ATM,05/08/12,145,700700,130953823,SUNDAY
KK Nagar ATM,05/08/12,162,572400,106975836,SUNDAY
Christ College ATM,05/08/12,115,406000,75877340,SUNDAY
Big Street ATM,06/08/12,44,142700,26669203,SUNDAY
Mount Road ATM,06/08/12,214,887100,165790119,SUNDAY
Airport ATM,06/08/12,135,658200,123010998,SUNDAY
KK Nagar ATM,06/08/12,315,1496900,279755641,SUNDAY
Christ College ATM,06/08/12,124,634900,118656461,SUNDAY
Big Street ATM,07/08/12,48,176800,33042152,SUNDAY
Mount Road ATM,07/08/12,168,605300,113124517,SUNDAY
Airport ATM,07/08/12,112,647600,121029964,SUNDAY
KK Nagar ATM,07/08/12,237,1181700,220847913,SUNDAY
Christ College ATM,07/08/12,115,580000,108396200,SUNDAY
Big Street ATM,08/08/12,41,163800,30612582,SUNDAY
Mount Road ATM,08/08/12,184,556100,103929529,SUNDAY
Airport ATM,08/08/12,136,610800,114152412,SUNDAY
KK Nagar ATM,08/08/12,242,1119600,209242044,SUNDAY
Christ College ATM,08/08/12,149,592800,110788392,SUNDAY
Big Street ATM,09/08/12,49,170700,31902123,SUNDAY
Mount Road ATM,09/08/12,171,510900,95482101,SUNDAY
Airport ATM,09/08/12,118,583000,108956870,SUNDAY
KK Nagar ATM,09/08/12,210,815500,152408795,SUNDAY
Christ College ATM,09/08/12,93,342700,64047203,SUNDAY
Big Street ATM,10/08/12,31,119100,22258599,SUNDAY
Mount Road ATM,10/08/12,190,597100,111592019,SUNDAY
Airport ATM,10/08/12,125,550100,102808189,SUNDAY
KK Nagar ATM,10/08/12,242,1198300,223950287,SUNDAY
Christ College ATM,10/08/12,67,319300,59673977,SUNDAY
Big Street ATM,11/08/12,13,30300,5662767,SATURDAY
Mount Road ATM,11/08/12,218,709000,132505010,SATURDAY
Airport ATM,11/08/12,133,632000,118114480,SATURDAY
KK Nagar ATM,11/08/12,291,1293000,241648770,SATURDAY
Christ College ATM,11/08/12,131,622200,116282958,SATURDAY
Big Street ATM,12/08/12,22,67500,12615075,SUNDAY
Mount Road ATM,12/08/12,147,214400,40069216,SUNDAY
Airport ATM,12/08/12,87,386500,72232985,SUNDAY
KK Nagar ATM,12/08/12,119,352300,65841347,SUNDAY
Christ College ATM,12/08/12,75,212100,39639369,SUNDAY
Big Street ATM,13/08/12,33,105600,19735584,SUNDAY
Mount Road ATM,13/08/12,173,667100,124674319,SUNDAY
Airport ATM,13/08/12,113,617800,115460642,SUNDAY
KK Nagar ATM,13/08/12,250,1246800,233014452,SUNDAY
Christ College ATM,13/08/12,80,408200,76288498,SUNDAY
Big Street ATM,14/08/12,43,150500,28126945,SUNDAY
Mount Road ATM,14/08/12,187,547500,102322275,SUNDAY
Airport ATM,14/08/12,124,660700,123478223,SUNDAY
KK Nagar ATM,14/08/12,204,855200,159828328,SUNDAY
Christ College ATM,14/08/12,90,319800,59767422,SUNDAY
Big Street ATM,15/08/12,54,200700,37508823,WEDNESDAY
Mount Road ATM,15/08/12,169,422900,79035781,WEDNESDAY
Airport ATM,15/08/12,82,542600,101406514,WEDNESDAY
KK Nagar ATM,15/08/12,172,668300,124898587,WEDNESDAY
Christ College ATM,15/08/12,79,302400,56515536,WEDNESDAY
Big Street ATM,16/08/12,52,178900,33434621,WEDNESDAY
Mount Road ATM,16/08/12,145,647900,121086031,WEDNESDAY
Airport ATM,16/08/12,132,702600,131308914,WEDNESDAY
KK Nagar ATM,16/08/12,286,1060700,198234223,WEDNESDAY
Christ College ATM,16/08/12,85,448500,83820165,WEDNESDAY
Big Street ATM,17/08/12,35,80400,15025956,WEDNESDAY
Mount Road ATM,17/08/12,177,635700,118805973,WEDNESDAY
Airport ATM,17/08/12,94,502800,93968292,WEDNESDAY
KK Nagar ATM,17/08/12,274,1052800,196757792,WEDNESDAY
Christ College ATM,17/08/12,116,637800,119198442,WEDNESDAY
Mount Road ATM,18/08/12,233,709600,132617144,SATURDAY
Airport ATM,18/08/12,118,531900,99406791,SATURDAY
KK Nagar ATM,18/08/12,223,747500,139700275,SATURDAY
Christ College ATM,18/08/12,100,403800,75466182,SATURDAY
Big Street ATM,19/08/12,37,137000,25603930,SUNDAY
Mount Road ATM,19/08/12,1,3500,654115,SUNDAY
Airport ATM,19/08/12,50,176600,33004774,SUNDAY
KK Nagar ATM,19/08/12,120,512000,95687680,SUNDAY
Christ College ATM,19/08/12,50,157900,29509931,SUNDAY
Big Street ATM,20/08/12,55,157900,29509931,MONDAY
Airport ATM,20/08/12,73,396900,74176641,MONDAY
KK Nagar ATM,20/08/12,277,1093400,204345526,MONDAY
Christ College ATM,20/08/12,67,291500,54478435,MONDAY
Big Street ATM,21/08/12,16,8200,1532498,MONDAY
Mount Road ATM,21/08/12,77,263300,49208137,MONDAY
Airport ATM,21/08/12,113,600600,112246134,MONDAY
KK Nagar ATM,21/08/12,273,1225500,229033695,MONDAY
Christ College ATM,21/08/12,95,426400,79689896,MONDAY
Big Street ATM,22/08/12,48,164400,30724716,MONDAY
Mount Road ATM,22/08/12,129,491400,91837746,MONDAY
Airport ATM,22/08/12,92,447600,83651964,MONDAY
KK Nagar ATM,22/08/12,246,1083600,202514004,MONDAY
Christ College ATM,22/08/12,82,314600,58795594,MONDAY
Big Street ATM,23/08/12,41,136900,25585241,MONDAY
Mount Road ATM,23/08/12,122,490100,91594789,MONDAY
Airport ATM,23/08/12,74,268300,50142587,MONDAY
KK Nagar ATM,23/08/12,200,780300,145830267,MONDAY
Christ College ATM,23/08/12,93,383800,71728382,MONDAY
Big Street ATM,24/08/12,53,201100,37583579,MONDAY
Mount Road ATM,24/08/12,145,474200,88623238,MONDAY
Airport ATM,24/08/12,100,586000,109517540,MONDAY
KK Nagar ATM,24/08/12,179,729500,136336255,MONDAY
Christ College ATM,24/08/12,111,540800,101070112,MONDAY
Big Street ATM,25/08/12,56,210600,39359034,SATURDAY
Mount Road ATM,25/08/12,170,719900,134542111,SATURDAY
Airport ATM,25/08/12,131,778700,145531243,SATURDAY
KK Nagar ATM,25/08/12,270,1156000,216044840,SATURDAY
Christ College ATM,25/08/12,99,343100,64121959,SATURDAY
Big Street ATM,26/08/12,54,152000,28407280,SUNDAY
Mount Road ATM,26/08/12,111,266300,49768807,SUNDAY
Airport ATM,26/08/12,83,444000,82979160,SUNDAY
KK Nagar ATM,26/08/12,97,322800,60328092,SUNDAY
Christ College ATM,26/08/12,89,243900,45582471,SUNDAY
Big Street ATM,27/08/12,42,134100,25061949,SUNDAY
Mount Road ATM,27/08/12,174,575200,107499128,SUNDAY
Airport ATM,27/08/12,86,360500,67373845,SUNDAY
KK Nagar ATM,27/08/12,264,1110500,207541345,SUNDAY
Christ College ATM,27/08/12,95,433600,81035504,SUNDAY
Big Street ATM,28/08/12,34,105700,19754273,SUNDAY
Mount Road ATM,28/08/12,148,403400,75391426,SUNDAY
Airport ATM,28/08/12,93,425600,79540384,SUNDAY
KK Nagar ATM,28/08/12,224,700700,130953823,SUNDAY
Christ College ATM,28/08/12,100,418500,78213465,SUNDAY
Big Street ATM,29/08/12,34,154000,28781060,SUNDAY
Mount Road ATM,29/08/12,147,435800,81446662,SUNDAY
Airport ATM,29/08/12,79,354700,66289883,SUNDAY
KK Nagar ATM,29/08/12,236,792800,148166392,SUNDAY
Christ College ATM,29/08/12,91,414900,77540661,SUNDAY
Big Street ATM,30/08/12,40,137900,25772131,SUNDAY
Mount Road ATM,30/08/12,160,483900,90436071,SUNDAY
Airport ATM,30/08/12,97,390400,72961856,SUNDAY
KK Nagar ATM,30/08/12,196,874600,163453994,SUNDAY
Christ College ATM,30/08/12,106,412400,77073436,SUNDAY
Big Street ATM,31/08/12,59,146900,27454141,SUNDAY
Mount Road ATM,31/08/12,194,693100,129533459,SUNDAY
Airport ATM,31/08/12,125,606200,113292718,SUNDAY
KK Nagar ATM,31/08/12,251,1095200,204681928,SUNDAY
Christ College ATM,31/08/12,110,473900,88567171,SUNDAY
Big Street ATM,01/09/12,62,216400,40442996,SATURDAY
Mount Road ATM,01/09/12,276,1229000,229687810,SATURDAY
Airport ATM,01/09/12,172,878300,164145487,SATURDAY
KK Nagar ATM,01/09/12,414,2169400,405439166,SATURDAY
Christ College ATM,01/09/12,134,768100,143550209,SATURDAY
Big Street ATM,02/09/12,95,365100,68233539,SUNDAY
Mount Road ATM,02/09/12,150,340000,63542600,SUNDAY
Airport ATM,02/09/12,71,346000,64663940,SUNDAY
KK Nagar ATM,02/09/12,197,819700,153193733,SUNDAY
Christ College ATM,02/09/12,136,555700,103854773,SUNDAY
Big Street ATM,03/09/12,62,187100,34967119,SUNDAY
Mount Road ATM,03/09/12,214,927800,173396542,SUNDAY
Airport ATM,03/09/12,104,574600,107386994,SUNDAY
KK Nagar ATM,03/09/12,330,1707100,319039919,SUNDAY
Christ College ATM,03/09/12,124,554700,103667883,SUNDAY
Big Street ATM,04/09/12,48,245200,45825428,SUNDAY
Mount Road ATM,04/09/12,219,846300,158165007,SUNDAY
Airport ATM,04/09/12,133,791800,147979502,SUNDAY
KK Nagar ATM,04/09/12,252,1127100,210643719,SUNDAY
Christ College ATM,04/09/12,114,718900,134355221,SUNDAY
Big Street ATM,05/09/12,65,274900,51376061,SUNDAY
Mount Road ATM,05/09/12,223,1003600,187562804,SUNDAY
Airport ATM,05/09/12,111,540500,101014045,SUNDAY
KK Nagar ATM,05/09/12,314,1449600,270915744,SUNDAY
Christ College ATM,05/09/12,118,648500,121198165,SUNDAY
Big Street ATM,06/09/12,68,193400,36144526,SUNDAY
Mount Road ATM,06/09/12,205,798700,149269043,SUNDAY
Airport ATM,06/09/12,102,557200,104135108,SUNDAY
KK Nagar ATM,06/09/12,257,1099200,205429488,SUNDAY
Christ College ATM,06/09/12,113,563900,105387271,SUNDAY
Big Street ATM,07/09/12,76,368700,68906343,SUNDAY
Mount Road ATM,07/09/12,187,669600,125141544,SUNDAY
Airport ATM,07/09/12,124,538300,100602887,SUNDAY
KK Nagar ATM,07/09/12,212,808400,151081876,SUNDAY
Christ College ATM,07/09/12,122,556800,104060352,SUNDAY
Big Street ATM,08/09/12,79,315100,58889039,SATURDAY
Mount Road ATM,08/09/12,256,786300,146951607,SATURDAY
Airport ATM,08/09/12,90,409700,76568833,SATURDAY
KK Nagar ATM,08/09/12,275,1053900,196963371,SATURDAY
Christ College ATM,08/09/12,128,679300,126954377,SATURDAY
Big Street ATM,09/09/12,97,303100,56646359,SUNDAY
Mount Road ATM,09/09/12,198,401100,74961579,SUNDAY
Airport ATM,09/09/12,76,254300,47526127,SUNDAY
KK Nagar ATM,09/09/12,121,537700,100490753,SUNDAY
Christ College ATM,09/09/12,140,430500,80456145,SUNDAY
Big Street ATM,10/09/12,61,182900,34182181,SUNDAY
Mount Road ATM,10/09/12,145,471700,88156013,SUNDAY
Airport ATM,10/09/12,131,695800,130038062,SUNDAY
KK Nagar ATM,10/09/12,254,1182500,220997425,SUNDAY
Christ College ATM,10/09/12,108,463600,86642204,SUNDAY
Big Street ATM,11/09/12,64,202800,37901292,SUNDAY
Mount Road ATM,11/09/12,201,650300,121534567,SUNDAY
Airport ATM,11/09/12,136,671500,125496635,SUNDAY
KK Nagar ATM,11/09/12,235,1163300,217409137,SUNDAY
Christ College ATM,11/09/12,131,654600,122338194,SUNDAY
Big Street ATM,12/09/12,94,419700,78437733,SUNDAY
Mount Road ATM,12/09/12,159,600200,112171378,SUNDAY
Airport ATM,12/09/12,101,451700,84418213,SUNDAY
KK Nagar ATM,12/09/12,232,1040300,194421667,SUNDAY
Christ College ATM,12/09/12,123,503600,94117804,SUNDAY
Big Street ATM,13/09/12,89,344100,64308849,SUNDAY
Mount Road ATM,13/09/12,122,421100,78699379,SUNDAY
Airport ATM,13/09/12,92,455500,85128395,SUNDAY
KK Nagar ATM,13/09/12,223,1112900,207989881,SUNDAY
Christ College ATM,13/09/12,120,569200,106377788,SUNDAY
Big Street ATM,14/09/12,86,322400,60253336,SUNDAY
Mount Road ATM,14/09/12,199,767600,143456764,SUNDAY
Airport ATM,14/09/12,96,624200,116656738,SUNDAY
KK Nagar ATM,14/09/12,222,899800,168163622,SUNDAY
Christ College ATM,14/09/12,97,472300,88268147,SUNDAY
Big Street ATM,15/09/12,96,217400,40629886,SATURDAY
Mount Road ATM,15/09/12,224,820800,153399312,SATURDAY
Airport ATM,15/09/12,126,589800,110227722,SATURDAY
KK Nagar ATM,15/09/12,213,825600,154296384,SATURDAY
Christ College ATM,15/09/12,106,441500,82511935,SATURDAY
Big Street ATM,16/09/12,112,373100,69728659,SUNDAY
Mount Road ATM,16/09/12,144,366700,68532563,SUNDAY
Airport ATM,16/09/12,88,345100,64495739,SUNDAY
KK Nagar ATM,16/09/12,123,356900,66701041,SUNDAY
Christ College ATM,16/09/12,129,442800,82754892,SUNDAY
Big Street ATM,17/09/12,90,343000,64103270,SUNDAY
Mount Road ATM,17/09/12,202,597500,111666775,SUNDAY
Airport ATM,17/09/12,117,544900,101836361,SUNDAY
KK Nagar ATM,17/09/12,276,1123900,210045671,SUNDAY
Christ College ATM,17/09/12,87,337400,63056686,SUNDAY
Big Street ATM,18/09/12,89,321000,59991690,SUNDAY
Mount Road ATM,18/09/12,161,551200,103013768,SUNDAY
Airport ATM,18/09/12,109,502800,93968292,SUNDAY
KK Nagar ATM,18/09/12,262,1023500,191281915,SUNDAY
Christ College ATM,18/09/12,109,386300,72195607,SUNDAY
Big Street ATM,19/09/12,91,219700,41059733,WEDNESDAY
Mount Road ATM,19/09/12,142,430300,80418767,WEDNESDAY
Airport ATM,19/09/12,44,217100,40573819,WEDNESDAY
KK Nagar ATM,19/09/12,189,715500,133719795,WEDNESDAY
Christ College ATM,19/09/12,116,368300,68831587,WEDNESDAY
Big Street ATM,20/09/12,87,237300,44348997,WEDNESDAY
Mount Road ATM,20/09/12,130,443900,82960471,WEDNESDAY
Airport ATM,20/09/12,100,469200,87688788,WEDNESDAY
KK Nagar ATM,20/09/12,188,786000,146895540,WEDNESDAY
Christ College ATM,20/09/12,109,342400,63991136,WEDNESDAY
Big Street ATM,21/09/12,63,216300,40424307,WEDNESDAY
Mount Road ATM,21/09/12,165,491800,91912502,WEDNESDAY
Airport ATM,21/09/12,90,545800,102004562,WEDNESDAY
KK Nagar ATM,21/09/12,245,1033900,193225571,WEDNESDAY
Christ College ATM,21/09/12,144,447100,83558519,WEDNESDAY
Big Street ATM,22/09/12,69,130200,24333078,SATURDAY
Mount Road ATM,22/09/12,223,784900,146689961,SATURDAY
Airport ATM,22/09/12,97,546000,102041940,SATURDAY
KK Nagar ATM,22/09/12,250,947100,177003519,SATURDAY
Christ College ATM,22/09/12,125,612100,114395369,SATURDAY
Big Street ATM,23/09/12,72,179500,33546755,SUNDAY
Mount Road ATM,23/09/12,134,290900,54366301,SUNDAY
Airport ATM,23/09/12,96,232500,43451925,SUNDAY
KK Nagar ATM,23/09/12,102,350100,65430189,SUNDAY
Christ College ATM,23/09/12,88,301200,56291268,SUNDAY
Big Street ATM,24/09/12,66,148000,27659720,SUNDAY
Mount Road ATM,24/09/12,163,531400,99313346,SUNDAY
Airport ATM,24/09/12,128,503400,94080426,SUNDAY
KK Nagar ATM,24/09/12,229,990400,185095856,SUNDAY
Christ College ATM,24/09/12,99,442000,82605380,SUNDAY
Big Street ATM,25/09/12,76,256500,47937285,SUNDAY
Mount Road ATM,25/09/12,155,473400,88473726,SUNDAY
Airport ATM,25/09/12,98,391900,73242191,SUNDAY
KK Nagar ATM,25/09/12,248,1024300,191431427,SUNDAY
Christ College ATM,25/09/12,78,320300,59860867,SUNDAY
Big Street ATM,26/09/12,80,296200,55356818,SUNDAY
Mount Road ATM,26/09/12,168,480400,89781956,SUNDAY
Airport ATM,26/09/12,102,484200,90492138,SUNDAY
KK Nagar ATM,26/09/12,215,752100,140559969,SUNDAY
Christ College ATM,26/09/12,74,320200,59842178,SUNDAY
Big Street ATM,27/09/12,86,255000,47656950,SUNDAY
Mount Road ATM,27/09/12,167,509200,95164388,SUNDAY
Airport ATM,27/09/12,109,454000,84848060,SUNDAY
KK Nagar ATM,27/09/12,229,825000,154184250,SUNDAY
Christ College ATM,27/09/12,108,394800,73784172,SUNDAY
Big Street ATM,28/09/12,76,185700,34705473,SUNDAY
Mount Road ATM,28/09/12,111,263600,49264204,SUNDAY
Airport ATM,28/09/12,98,536900,100341241,SUNDAY
KK Nagar ATM,28/09/12,278,1239900,231724911,SUNDAY
Christ College ATM,28/09/12,154,696200,130112818,SUNDAY
Big Street ATM,29/09/12,55,167500,31304075,SATURDAY
Mount Road ATM,29/09/12,216,690700,129084923,SATURDAY
Airport ATM,29/09/12,51,213200,39844948,SATURDAY
KK Nagar ATM,29/09/12,254,1008000,188385120,SATURDAY
Christ College ATM,29/09/12,101,384400,71840516,SATURDAY
Big Street ATM,30/09/12,89,219800,41078422,SUNDAY
Mount Road ATM,30/09/12,160,335500,62701595,SUNDAY
Airport ATM,30/09/12,77,487300,91071497,SUNDAY
KK Nagar ATM,30/09/12,133,468500,87557965,SUNDAY
Christ College ATM,30/09/12,81,306500,57281785,SUNDAY
Big Street ATM,01/10/12,97,430900,80530901,SUNDAY
Mount Road ATM,01/10/12,211,893700,167023593,SUNDAY
Airport ATM,01/10/12,155,884200,165248138,SUNDAY
KK Nagar ATM,01/10/12,331,1580700,295417023,SUNDAY
Christ College ATM,01/10/12,80,308000,57562120,SUNDAY
Big Street ATM,02/10/12,118,347000,64850830,TUESDAY
Mount Road ATM,02/10/12,141,438100,81876509,TUESDAY
Airport ATM,02/10/12,103,426900,79783341,TUESDAY
KK Nagar ATM,02/10/12,147,550500,102882945,TUESDAY
Christ College ATM,02/10/12,66,276700,51712463,TUESDAY
Big Street ATM,03/10/12,94,339700,63486533,TUESDAY
Mount Road ATM,03/10/12,230,991900,185376191,TUESDAY
Airport ATM,03/10/12,130,498700,93202043,TUESDAY
KK Nagar ATM,03/10/12,350,1679600,313900444,TUESDAY
Christ College ATM,03/10/12,215,822700,153754403,TUESDAY
Big Street ATM,04/10/12,65,229300,42853877,TUESDAY
Mount Road ATM,04/10/12,215,674400,126038616,TUESDAY
Airport ATM,04/10/12,86,524900,98098561,TUESDAY
KK Nagar ATM,04/10/12,309,1587800,296743942,TUESDAY
Christ College ATM,04/10/12,139,740800,138448112,TUESDAY
Big Street ATM,05/10/12,74,267700,50030453,TUESDAY
Mount Road ATM,05/10/12,199,748400,139868476,TUESDAY
Airport ATM,05/10/12,92,566000,105779740,TUESDAY
KK Nagar ATM,05/10/12,310,1338200,250096198,TUESDAY
Christ College ATM,05/10/12,157,719600,134486044,TUESDAY
Big Street ATM,06/10/12,89,324600,60664494,SATURDAY
Mount Road ATM,06/10/12,188,717600,134112264,SATURDAY
Airport ATM,06/10/12,115,502700,93949603,SATURDAY
KK Nagar ATM,06/10/12,315,1332200,248974858,SATURDAY
Christ College ATM,06/10/12,170,835500,156146595,SATURDAY
Big Street ATM,07/10/12,94,230400,43059456,SUNDAY
Mount Road ATM,07/10/12,1,500,93445,SUNDAY
Airport ATM,07/10/12,133,454400,84922816,SUNDAY
KK Nagar ATM,07/10/12,153,542300,101350447,SUNDAY
Christ College ATM,07/10/12,99,401500,75036335,SUNDAY
Big Street ATM,08/10/12,71,221800,41452202,SUNDAY
Mount Road ATM,08/10/12,220,776200,145064018,SUNDAY
Airport ATM,08/10/12,148,793500,148297215,SUNDAY
KK Nagar ATM,08/10/12,312,1393300,260393837,SUNDAY
Christ College ATM,08/10/12,181,729500,136336255,SUNDAY
Big Street ATM,09/10/12,88,281500,52609535,SUNDAY
Mount Road ATM,09/10/12,187,648300,121160787,SUNDAY
Airport ATM,09/10/12,117,621500,116152135,SUNDAY
KK Nagar ATM,09/10/12,255,1117400,208830886,SUNDAY
Christ College ATM,09/10/12,138,679300,126954377,SUNDAY
Big Street ATM,10/10/12,104,361100,67485979,SUNDAY
Mount Road ATM,10/10/12,237,873300,163211037,SUNDAY
Airport ATM,10/10/12,126,678200,126748798,SUNDAY
KK Nagar ATM,10/10/12,271,1278600,238957554,SUNDAY
Christ College ATM,10/10/12,144,703600,131495804,SUNDAY
Big Street ATM,11/10/12,91,361400,67542046,SUNDAY
